Row,Average,Standard_Deviation,Range,Median
DTW Median,0.00754573526063034,0.0193985821802972,0.641601,0.000784
DTW Z-Weighted Median,0.00758316654057158,0.020429973538327,0.741321,0.000361
DTW 95th Percentile,0.0300512320174145,0.0536641754048461,1.503076,0.008649
Baseline Deviation,0.124121598832265,0.434056945044908,9.560464,0.013456
Fractional Peak,0.226699475919979,0.607658283061814,9.400356,0.018769
Peak Latency,0.157781871141132,0.499517129974989,9.4249,0.004761
Fractional Area,0.023113840436218,0.0895703066285443,5.424241,0.0025
